edibility,stalk-color,cap-color,spore-color,cap-shape,stalk-shape,gill-size,odor
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
poison,white,brown,brown,knobbed,missing,narrow,musty
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
edible,white,white,purple,knobbed,bulbous,narrow,anise
edible,white,brown,brown,knobbed,missing,broad,anise
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,purple,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,knobbed,club,broad,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,yellow,purple,knobbed,bulbous,narrow,anise
edible,white,brown,brown,knobbed,missing,narrow,none
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,missing,broad,none
edible,white,yellow,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,purple,knobbed,bulbous,narrow,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,bulbous,narrow,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,bulbous,narrow,anise
edible,white,yellow,brown,knobbed,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,purple,knobbed,bulbous,narrow,almond
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,purple,knobbed,bulbous,narrow,anise
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,white,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,bulbous,narrow,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,anise
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,bulbous,narrow,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,knobbed,club,broad,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,bulbous,narrow,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,knobbed,bulbous,narrow,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,white,purple,knobbed,bulbous,narrow,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,purple,knobbed,bulbous,narrow,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,missing,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,anise
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,purple,knobbed,bulbous,narrow,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,club,broad,anise
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,club,broad,anise
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,bulbous,narrow,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,missing,broad,none
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,brown,brown,brown,knobbed,bulbous,broad,none
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,club,broad,anise
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,bell,club,broad,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,bulbous,narrow,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,knobbed,bulbous,narrow,anise
edible,white,white,brown,knobbed,bulbous,narrow,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,yellow,purple,knobbed,bulbous,narrow,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,bulbous,broad,none
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,yellow,purple,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,bulbous,broad,none
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,brown,bell,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,anise
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,purple,knobbed,bulbous,narrow,anise
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,bulbous,narrow,almond
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,brown,knobbed,bulbous,narrow,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,purple,knobbed,bulbous,narrow,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,brown,brown,brown,knobbed,bulbous,broad,none
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,white,brown,bell,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,brown,knobbed,club,broad,almond
edible,white,white,purple,knobbed,bulbous,narrow,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,white,purple,knobbed,bulbous,narrow,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,purple,knobbed,bulbous,narrow,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,bulbous,narrow,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,purple,knobbed,bulbous,narrow,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,white,brown,knobbed,missing,broad,none
edible,white,brown,brown,knobbed,missing,broad,anise
edible,white,yellow,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,white,brown,knobbed,club,broad,anise
edible,white,white,brown,bell,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,anise
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,brown,knobbed,missing,broad,none
edible,white,white,brown,bell,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,white,purple,knobbed,bulbous,narrow,almond
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,missing,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,bell,club,broad,anise
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,yellow,purple,knobbed,bulbous,narrow,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,narrow,none
edible,white,brown,brown,knobbed,missing,broad,none
edible,white,yellow,brown,knobbed,missing,broad,anise
edible,white,white,brown,knobbed,bulbous,narrow,anise
edible,white,yellow,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,missing,broad,almond
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,purple,knobbed,bulbous,narrow,anise
edible,white,white,brown,knobbed,club,broad,anise
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,yellow,brown,bell,club,broad,almond
edible,white,yellow,purple,knobbed,bulbous,narrow,almond
edible,white,yellow,purple,knobbed,bulbous,narrow,almond
edible,white,white,brown,knobbed,missing,broad,none
edible,white,white,brown,bell,club,broad,almond
poison,white,white,brown,knobbed,missing,narrow,musty
edible,white,yellow,brown,knobbed,club,broad,almond
edible,white,brown,brown,knobbed,missing,broad,none
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,white,brown,bell,club,broad,almond
edible,white,white,brown,knobbed,club,broad,almond
edible,white,yellow,brown,knobbed,bulbous,narrow,anise
